ano,sigla_uf,id_municipio,municipio,populacao
2022,SP,3502606,Aparecida d'Oeste,4086
2023,SP,3502606,Aparecida d'Oeste,4086
2024,SP,3502606,Aparecida d'Oeste,4124
2025,SP,3502606,Aparecida d'Oeste,4112
2022,SP,3502705,Apiaí,24585
2023,SP,3502705,Apiaí,24585
2024,SP,3502705,Apiaí,24886
2025,SP,3502705,Apiaí,24857
2022,SP,3503000,Aramina,5420
2023,SP,3503000,Aramina,5420
2024,SP,3503000,Aramina,5526
2025,SP,3503000,Aramina,5535
2022,SP,3503109,Arandu,6885
2023,SP,3503109,Arandu,6885
2024,SP,3503109,Arandu,7050
2025,SP,3503109,Arandu,7076
2022,SP,3503158,Arapeí,2330
2023,SP,3503158,Arapeí,2330
2024,SP,3503158,Arapeí,2355
2025,SP,3503158,Arapeí,2355
2022,SP,3503208,Araraquara,242228
2023,SP,3503208,Araraquara,242228
2024,SP,3503208,Araraquara,252318
2025,SP,3503208,Araraquara,253474
2022,SP,3503307,Araras,130866
2023,SP,3503307,Araras,130866
2024,SP,3503307,Araras,135331
2025,SP,3503307,Araras,135744
2022,SP,3502754,Araçariguama,21522
2023,SP,3502754,Araçariguama,21522
2024,SP,3502754,Araçariguama,22168
2025,SP,3502754,Araçariguama,22314
2022,SP,3502804,Araçatuba,200124
2023,SP,3502804,Araçatuba,200124
2024,SP,3502804,Araçatuba,207775
2025,SP,3502804,Araçatuba,208415
2022,SP,3502903,Araçoiaba da Serra,32443
2023,SP,3502903,Araçoiaba da Serra,32443
2024,SP,3502903,Araçoiaba da Serra,33656
2025,SP,3502903,Araçoiaba da Serra,33832
2022,SP,3503356,Arco-Íris,2044
2023,SP,3503356,Arco-Íris,2044
2024,SP,3503356,Arco-Íris,2085
2025,SP,3503356,Arco-Íris,2089
2022,SP,3503406,Arealva,8130
2023,SP,3503406,Arealva,8130
2024,SP,3503406,Arealva,8280
2025,SP,3503406,Arealva,8290
2022,SP,3503505,Areias,3577
2023,SP,3503505,Areias,3577
2024,SP,3503505,Areias,3625
2025,SP,3503505,Areias,3617
2022,SP,3503604,Areiópolis,10130
2023,SP,3503604,Areiópolis,10130
2024,SP,3503604,Areiópolis,10257
2025,SP,3503604,Areiópolis,10242
2022,SP,3503703,Ariranha,7602
2023,SP,3503703,Ariranha,7602
2024,SP,3503703,Ariranha,7653
2025,SP,3503703,Ariranha,7621
2022,SP,3503802,Artur Nogueira,51456
2023,SP,3503802,Artur Nogueira,51456
2024,SP,3503802,Artur Nogueira,53157
2025,SP,3503802,Artur Nogueira,53467
2022,SP,3503901,Arujá,86678
2023,SP,3503901,Arujá,86678
2024,SP,3503901,Arujá,89943
2025,SP,3503901,Arujá,90273
2022,SP,3503950,Aspásia,1842
2023,SP,3503950,Aspásia,1842
2024,SP,3503950,Aspásia,1873
2025,SP,3503950,Aspásia,1875
2022,SP,3504008,Assis,101409
2023,SP,3504008,Assis,101409
2024,SP,3504008,Assis,104642
2025,SP,3504008,Assis,104858
2022,SP,3504107,Atibaia,158647
2023,SP,3504107,Atibaia,158647
2024,SP,3504107,Atibaia,166043
2025,SP,3504107,Atibaia,167161
2022,SP,3504206,Auriflama,13692
2023,SP,3504206,Auriflama,13692
2024,SP,3504206,Auriflama,13873
2025,SP,3504206,Auriflama,13856
2022,SP,3504404,Avanhandava,11263
2023,SP,3504404,Avanhandava,11263
2024,SP,3504404,Avanhandava,11438
2025,SP,3504404,Avanhandava,11436
2022,SP,3504503,Avaré,92805
2023,SP,3504503,Avaré,92805
2024,SP,3504503,Avaré,96098
2025,SP,3504503,Avaré,96450
2022,SP,3504305,Avaí,4483
2023,SP,3504305,Avaí,4483
2024,SP,3504305,Avaí,4519
2025,SP,3504305,Avaí,4503
2022,SP,3504602,Bady Bassitt,27260
2023,SP,3504602,Bady Bassitt,27260
2024,SP,3504602,Bady Bassitt,28909
2025,SP,3504602,Bady Bassitt,29346
2022,SP,3504701,Balbinos,3887
2023,SP,3504701,Balbinos,3887
2024,SP,3504701,Balbinos,3963
2025,SP,3504701,Balbinos,3969
2022,SP,3504909,Bananal,9969
2023,SP,3504909,Bananal,9969
2024,SP,3504909,Bananal,10109
2025,SP,3504909,Bananal,10097
2022,SP,3505104,Barbosa,5640
2023,SP,3505104,Barbosa,5640
2024,SP,3505104,Barbosa,5659
2025,SP,3505104,Barbosa,5627
2022,SP,3505203,Bariri,31595
2023,SP,3505203,Bariri,31595
2024,SP,3505203,Bariri,32405
2025,SP,3505203,Bariri,32406
2022,SP,3505302,Barra Bonita,34346
2023,SP,3505302,Barra Bonita,34346
2024,SP,3505302,Barra Bonita,35159
2025,SP,3505302,Barra Bonita,35129
2022,SP,3505351,Barra do Chapéu,5179
2023,SP,3505351,Barra do Chapéu,5179
2024,SP,3505351,Barra do Chapéu,5256
2025,SP,3505351,Barra do Chapéu,5254
2022,SP,3505401,Barra do Turvo,6876
2023,SP,3505401,Barra do Turvo,6876
2024,SP,3505401,Barra do Turvo,6922
2025,SP,3505401,Barra do Turvo,6894
2022,SP,3505500,Barretos,122485
2023,SP,3505500,Barretos,122485
2024,SP,3505500,Barretos,126600
2025,SP,3505500,Barretos,126957
2022,SP,3505609,Barrinha,32092
2023,SP,3505609,Barrinha,32092
2024,SP,3505609,Barrinha,33181
2025,SP,3505609,Barrinha,33304
2022,SP,3505708,Barueri,316473
2023,SP,3505708,Barueri,316473
2024,SP,3505708,Barueri,330339
2025,SP,3505708,Barueri,333737
2022,SP,3505005,Barão de Antonina,3531
2023,SP,3505005,Barão de Antonina,3531
2024,SP,3505005,Barão de Antonina,3618
2025,SP,3505005,Barão de Antonina,3632
2022,SP,3505807,Bastos,21503
2023,SP,3505807,Bastos,21503
2024,SP,3505807,Bastos,21900
2025,SP,3505807,Bastos,21936
2022,SP,3505906,Batatais,58402
2023,SP,3505906,Batatais,58402
2024,SP,3505906,Batatais,59873
2025,SP,3505906,Batatais,59939
2022,SP,3506003,Bauru,379146
2023,SP,3506003,Bauru,379146
2024,SP,3506003,Bauru,391740
2025,SP,3506003,Bauru,392947
2022,SP,3506102,Bebedouro,76373
2023,SP,3506102,Bebedouro,76373
2024,SP,3506102,Bebedouro,78210
2025,SP,3506102,Bebedouro,78257
2022,SP,3506201,Bento de Abreu,2606
2023,SP,3506201,Bento de Abreu,2606
2024,SP,3506201,Bento de Abreu,2642
2025,SP,3506201,Bento de Abreu,2640
2022,SP,3506300,Bernardino de Campos,11607
2023,SP,3506300,Bernardino de Campos,11607
2024,SP,3506300,Bernardino de Campos,11852
2025,SP,3506300,Bernardino de Campos,11881
2022,SP,3506359,Bertioga,64188
2023,SP,3506359,Bertioga,64188
2024,SP,3506359,Bertioga,66873
2025,SP,3506359,Bertioga,67436
2022,SP,3506409,Bilac,7319
2023,SP,3506409,Bilac,7319
2024,SP,3506409,Bilac,7455
2025,SP,3506409,Bilac,7464
2022,SP,3506508,Birigui,118979
2023,SP,3506508,Birigui,118979
2024,SP,3506508,Birigui,122988
2025,SP,3506508,Birigui,123340
2022,SP,3506607,Biritiba-Mirim,29683
2023,SP,3506607,Biritiba-Mirim,29683
2024,SP,3506607,Biritiba-Mirim,30526
2025,SP,3506607,Biritiba-Mirim,30564
2022,SP,3506706,Boa Esperança do Sul,12978
2023,SP,3506706,Boa Esperança do Sul,12978
2024,SP,3506706,Boa Esperança do Sul,13135
2025,SP,3506706,Boa Esperança do Sul,13113
2022,SP,3506805,Bocaina,11259
2023,SP,3506805,Bocaina,11259
2024,SP,3506805,Bocaina,11467
2025,SP,3506805,Bocaina,11480
2022,SP,3506904,Bofete,10460
2023,SP,3506904,Bofete,10460
2024,SP,3506904,Bofete,10688
2025,SP,3506904,Bofete,10710
2022,SP,3507001,Boituva,61081
2023,SP,3507001,Boituva,61081
2024,SP,3507001,Boituva,63415
2025,SP,3507001,Boituva,63850
2022,SP,3507100,Bom Jesus dos Perdões,22006
2023,SP,3507100,Bom Jesus dos Perdões,22006
2024,SP,3507100,Bom Jesus dos Perdões,22501
2025,SP,3507100,Bom Jesus dos Perdões,22579
2022,SP,3507159,Bom Sucesso de Itararé,3555
2023,SP,3507159,Bom Sucesso de Itararé,3555
2024,SP,3507159,Bom Sucesso de Itararé,3610
2025,SP,3507159,Bom Sucesso de Itararé,3609
2022,SP,3507308,Boracéia,4715
2023,SP,3507308,Boracéia,4715
2024,SP,3507308,Boracéia,4823
2025,SP,3507308,Boracéia,4838
2022,SP,3507407,Borborema,14226
2023,SP,3507407,Borborema,14226
2024,SP,3507407,Borborema,14415
2025,SP,3507407,Borborema,14405
2022,SP,3507456,Borebi,2713
2023,SP,3507456,Borebi,2713
2024,SP,3507456,Borebi,2787
2025,SP,3507456,Borebi,2801
2022,SP,3507209,Borá,907
2023,SP,3507209,Borá,907
2024,SP,3507209,Borá,928
2025,SP,3507209,Borá,932
2022,SP,3507506,Botucatu,145155
2023,SP,3507506,Botucatu,145155
2024,SP,3507506,Botucatu,150442
2025,SP,3507506,Botucatu,151053
2022,SP,3507605,Bragança Paulista,176811
2023,SP,3507605,Bragança Paulista,176811
2024,SP,3507605,Bragança Paulista,184634
2025,SP,3507605,Bragança Paulista,185688
2022,SP,3507704,Braúna,5356
2023,SP,3507704,Braúna,5356
2024,SP,3507704,Braúna,5466
2025,SP,3507704,Braúna,5477
2022,SP,3507753,Brejo Alegre,2565
2023,SP,3507753,Brejo Alegre,2565
2024,SP,3507753,Brejo Alegre,2605
2025,SP,3507753,Brejo Alegre,2605
2022,SP,3507803,Brodowski,25201
2023,SP,3507803,Brodowski,25201
2024,SP,3507803,Brodowski,26167
2025,SP,3507803,Brodowski,26314
2022,SP,3507902,Brotas,23898
2023,SP,3507902,Brotas,23898
2024,SP,3507902,Brotas,24423
2025,SP,3507902,Brotas,24501
2022,SP,3508009,Buri,20250
2023,SP,3508009,Buri,20250
2024,SP,3508009,Buri,20674
2025,SP,3508009,Buri,20731
2022,SP,3508108,Buritama,17210
2023,SP,3508108,Buritama,17210
2024,SP,3508108,Buritama,17597
2025,SP,3508108,Buritama,17658
2022,SP,3508207,Buritizal,4356
2023,SP,3508207,Buritizal,4356
2024,SP,3508207,Buritizal,4447
2025,SP,3508207,Buritizal,4458
2022,SP,3504800,Bálsamo,9596
2023,SP,3504800,Bálsamo,9596
2024,SP,3504800,Bálsamo,9854
2025,SP,3504800,Bálsamo,9902
2022,SP,3508405,Cabreúva,47011
2023,SP,3508405,Cabreúva,47011
2024,SP,3508405,Cabreúva,48473
2025,SP,3508405,Cabreúva,48654
2022,SP,3508306,Cabrália Paulista,4299
2023,SP,3508306,Cabrália Paulista,4299
2024,SP,3508306,Cabrália Paulista,4362
2025,SP,3508306,Cabrália Paulista,4360
2022,SP,3508603,Cachoeira Paulista,31564
2023,SP,3508603,Cachoeira Paulista,31564
2024,SP,3508603,Cachoeira Paulista,32482
2025,SP,3508603,Cachoeira Paulista,32534
2022,SP,3508702,Caconde,17101
2023,SP,3508702,Caconde,17101
2024,SP,3508702,Caconde,17266
2025,SP,3508702,Caconde,17228
2022,SP,3508801,Cafelândia,16654
2023,SP,3508801,Cafelândia,16654
2024,SP,3508801,Cafelândia,16905
2025,SP,3508801,Cafelândia,16907
2022,SP,3508900,Caiabu,3712
2023,SP,3508900,Caiabu,3712
2024,SP,3508900,Caiabu,3745
2025,SP,3508900,Caiabu,3726
2022,SP,3509007,Caieiras,95032
2023,SP,3509007,Caieiras,95032
2024,SP,3509007,Caieiras,98257
2025,SP,3509007,Caieiras,98549
2022,SP,3509106,Caiuá,5466
2023,SP,3509106,Caiuá,5466
2024,SP,3509106,Caiuá,5585
2025,SP,3509106,Caiuá,5599
2022,SP,3509205,Cajamar,92689
2023,SP,3509205,Cajamar,92689
2024,SP,3509205,Cajamar,97363
2025,SP,3509205,Cajamar,98365
2022,SP,3509254,Cajati,28515
2023,SP,3509254,Cajati,28515
2024,SP,3509254,Cajati,29257
2025,SP,3509254,Cajati,29262
2022,SP,3509304,Cajobi,9133
2023,SP,3509304,Cajobi,9133
2024,SP,3509304,Cajobi,9232
2025,SP,3509304,Cajobi,9210
2022,SP,3509403,Cajuru,23830
2023,SP,3509403,Cajuru,23830
2024,SP,3509403,Cajuru,24217
2025,SP,3509403,Cajuru,24233
2022,SP,3509452,Campina do Monte Alegre,5954
2023,SP,3509452,Campina do Monte Alegre,5954
2024,SP,3509452,Campina do Monte Alegre,6077
2025,SP,3509452,Campina do Monte Alegre,6090
2022,SP,3509502,Campinas,1139047
2023,SP,3509502,Campinas,1139047
2024,SP,3509502,Campinas,1185977
2025,SP,3509502,Campinas,1187974
2022,SP,3509601,Campo Limpo Paulista,77632
2023,SP,3509601,Campo Limpo Paulista,77632
2024,SP,3509601,Campo Limpo Paulista,79663
2025,SP,3509601,Campo Limpo Paulista,79781
2022,SP,3509809,Campos Novos Paulista,4888
2023,SP,3509809,Campos Novos Paulista,4888
2024,SP,3509809,Campos Novos Paulista,4991
2025,SP,3509809,Campos Novos Paulista,5003
2022,SP,3509700,Campos do Jordão,46974
2023,SP,3509700,Campos do Jordão,46974
2024,SP,3509700,Campos do Jordão,47983
2025,SP,3509700,Campos do Jordão,47956
2022,SP,3509908,Cananéia,12289
2023,SP,3509908,Cananéia,12289
2024,SP,3509908,Cananéia,12489
2025,SP,3509908,Cananéia,12491
2022,SP,3509957,Canas,4931
2023,SP,3509957,Canas,4931
2024,SP,3509957,Canas,5049
2025,SP,3509957,Canas,5068
2022,SP,3510153,Canitar,6283
2023,SP,3510153,Canitar,6283
2024,SP,3510153,Canitar,6524
2025,SP,3510153,Canitar,6589
2022,SP,3510302,Capela do Alto,22866
2023,SP,3510302,Capela do Alto,22866
2024,SP,3510302,Capela do Alto,23597
2025,SP,3510302,Capela do Alto,23777
2022,SP,3510401,Capivari,50068
2023,SP,3510401,Capivari,50068
2024,SP,3510401,Capivari,51318
2025,SP,3510401,Capivari,51369
2022,SP,3510203,Capão Bonito,46337
2023,SP,3510203,Capão Bonito,46337
2024,SP,3510203,Capão Bonito,47403
2025,SP,3510203,Capão Bonito,47409
2022,SP,3510500,Caraguatatuba,134873
2023,SP,3510500,Caraguatatuba,134873
2024,SP,3510500,Caraguatatuba,141084
2025,SP,3510500,Caraguatatuba,142248
2022,SP,3510609,Carapicuíba,386984
2023,SP,3510609,Carapicuíba,386984
2024,SP,3510609,Carapicuíba,398462
2025,SP,3510609,Carapicuíba,398236
2022,SP,3510708,Cardoso,11345
2023,SP,3510708,Cardoso,11345
2024,SP,3510708,Cardoso,11491
2025,SP,3510708,Cardoso,11476
2022,SP,3510807,Casa Branca,28083
2023,SP,3510807,Casa Branca,28083
2024,SP,3510807,Casa Branca,28786
2025,SP,3510807,Casa Branca,28779
2022,SP,3511003,Castilho,19977
2023,SP,3511003,Castilho,19977
2024,SP,3511003,Castilho,20418
2025,SP,3511003,Castilho,20485
2022,SP,3511102,Catanduva,115791
2023,SP,3511102,Catanduva,115791
2024,SP,3511102,Catanduva,119172
2025,SP,3511102,Catanduva,119275
2022,SP,3511201,Catiguá,7003
2023,SP,3511201,Catiguá,7003
2024,SP,3511201,Catiguá,7105
2025,SP,3511201,Catiguá,7101
2022,SP,3508504,Caçapava,96202
2023,SP,3508504,Caçapava,96202
2024,SP,3508504,Caçapava,99678
2025,SP,3508504,Caçapava,100071
2022,SP,3511300,Cedral,12618
2023,SP,3511300,Cedral,12618
2024,SP,3511300,Cedral,13160
2025,SP,3511300,Cedral,13314
2022,SP,3511409,Cerqueira César,21469
2023,SP,3511409,Cerqueira César,21469
2024,SP,3511409,Cerqueira César,22076
2025,SP,3511409,Cerqueira César,22210
2022,SP,3511508,Cerquilho,44695
2023,SP,3511508,Cerquilho,44695
2024,SP,3511508,Cerquilho,46217
2025,SP,3511508,Cerquilho,46391
2022,SP,3511607,Cesário Lange,19048
2023,SP,3511607,Cesário Lange,19048
2024,SP,3511607,Cesário Lange,19588
2025,SP,3511607,Cesário Lange,19707
2022,SP,3511706,Charqueada,15535
2023,SP,3511706,Charqueada,15535
2024,SP,3511706,Charqueada,15798
2025,SP,3511706,Charqueada,15814
2022,SP,3557204,Chavantes,12211
2023,SP,3557204,Chavantes,12211
2024,SP,3557204,Chavantes,12411
2025,SP,3557204,Chavantes,12415
2022,SP,3511904,Clementina,6982
2023,SP,3511904,Clementina,6982
2024,SP,3511904,Clementina,7087
2025,SP,3511904,Clementina,7084
2022,SP,3512001,Colina,18486
2023,SP,3512001,Colina,18486
2024,SP,3512001,Colina,18842
2025,SP,3512001,Colina,18880
2022,SP,3512100,Colômbia,6629
2023,SP,3512100,Colômbia,6629
2024,SP,3512100,Colômbia,6781
2025,SP,3512100,Colômbia,6802
2022,SP,3512209,Conchal,28101
2023,SP,3512209,Conchal,28101
2024,SP,3512209,Conchal,29034
2025,SP,3512209,Conchal,29132
2022,SP,3512308,Conchas,15232
2023,SP,3512308,Conchas,15232
2024,SP,3512308,Conchas,15381
2025,SP,3512308,Conchas,15345
2022,SP,3512407,Cordeirópolis,24514
2023,SP,3512407,Cordeirópolis,24514
2024,SP,3512407,Cordeirópolis,25130
2025,SP,3512407,Cordeirópolis,25286
2022,SP,3512506,Coroados,5400
2023,SP,3512506,Coroados,5400
2024,SP,3512506,Coroados,5498
2025,SP,3512506,Coroados,5504
2022,SP,3512605,Coronel Macedo,4280
2023,SP,3512605,Coronel Macedo,4280
2024,SP,3512605,Coronel Macedo,4295
2025,SP,3512605,Coronel Macedo,4271
2022,SP,3512704,Corumbataí,4195
2023,SP,3512704,Corumbataí,4195
2024,SP,3512704,Corumbataí,4285
2025,SP,3512704,Corumbataí,4296
2022,SP,3512902,Cosmorama,8719
2023,SP,3512902,Cosmorama,8719
2024,SP,3512902,Cosmorama,8968
2025,SP,3512902,Cosmorama,9019
2022,SP,3512803,Cosmópolis,59773
2023,SP,3512803,Cosmópolis,59773
2024,SP,3512803,Cosmópolis,61204
2025,SP,3512803,Cosmópolis,61167
2022,SP,3513009,Cotia,274413
2023,SP,3513009,Cotia,274413
2024,SP,3513009,Cotia,287004
2025,SP,3513009,Cotia,289493
2022,SP,3513108,Cravinhos,33281
2023,SP,3513108,Cravinhos,33281
2024,SP,3513108,Cravinhos,34252
2025,SP,3513108,Cravinhos,34307
2022,SP,3513207,Cristais Paulista,9272
2023,SP,3513207,Cristais Paulista,9272
2024,SP,3513207,Cristais Paulista,9543
2025,SP,3513207,Cristais Paulista,9600
2022,SP,3513405,Cruzeiro,74961
2023,SP,3513405,Cruzeiro,74961
2024,SP,3513405,Cruzeiro,76513
2025,SP,3513405,Cruzeiro,76444
2022,SP,3513306,Cruzália,2108
2023,SP,3513306,Cruzália,2108
2024,SP,3513306,Cruzália,2129
2025,SP,3513306,Cruzália,2123
2022,SP,3513504,Cubatão,112476
2023,SP,3513504,Cubatão,112476
2024,SP,3513504,Cubatão,115082
2025,SP,3513504,Cubatão,114870
2022,SP,3513603,Cunha,22110
2023,SP,3513603,Cunha,22110
2024,SP,3513603,Cunha,22456
2025,SP,3513603,Cunha,22460
2022,SP,3510906,Cássia dos Coqueiros,2799
2023,SP,3510906,Cássia dos Coqueiros,2799
2024,SP,3510906,Cássia dos Coqueiros,2855
2025,SP,3510906,Cássia dos Coqueiros,2861
2022,SP,3510005,Cândido Mota,29449
2023,SP,3510005,Cândido Mota,29449
2024,SP,3510005,Cândido Mota,30172
2025,SP,3510005,Cândido Mota,30157
2022,SP,3510104,Cândido Rodrigues,2889
2023,SP,3510104,Cândido Rodrigues,2889
2024,SP,3510104,Cândido Rodrigues,2951
2025,SP,3510104,Cândido Rodrigues,2959
2022,SP,3513702,Descalvado,31756
2023,SP,3513702,Descalvado,31756
2024,SP,3513702,Descalvado,32622
2025,SP,3513702,Descalvado,32663
2022,SP,3513801,Diadema,393237
2023,SP,3513801,Diadema,393237
2024,SP,3513801,Diadema,404118
2025,SP,3513801,Diadema,403579
2022,SP,3513850,Dirce Reis,1620
2023,SP,3513850,Dirce Reis,1620
2024,SP,3513850,Dirce Reis,1641
2025,SP,3513850,Dirce Reis,1639
2022,SP,3513900,Divinolândia,11158
2023,SP,3513900,Divinolândia,11158
2024,SP,3513900,Divinolândia,11314
2025,SP,3513900,Divinolândia,11305
2022,SP,3514007,Dobrada,8759
2023,SP,3514007,Dobrada,8759
2024,SP,3514007,Dobrada,8958
2025,SP,3514007,Dobrada,8986
2022,SP,3514106,Dois Córregos,24510
2023,SP,3514106,Dois Córregos,24510
2024,SP,3514106,Dois Córregos,24855
2025,SP,3514106,Dois Córregos,24847
2022,SP,3514205,Dolcinópolis,2207
2023,SP,3514205,Dolcinópolis,2207
2024,SP,3514205,Dolcinópolis,2250
2025,SP,3514205,Dolcinópolis,2254
2022,SP,3514304,Dourado,8096
2023,SP,3514304,Dourado,8096
2024,SP,3514304,Dourado,8186
2025,SP,3514304,Dourado,8169
2022,SP,3514403,Dracena,45474
2023,SP,3514403,Dracena,45474
2024,SP,3514403,Dracena,46664
2025,SP,3514403,Dracena,46735
2022,SP,3514502,Duartina,12328
2023,SP,3514502,Duartina,12328
2024,SP,3514502,Duartina,12529
2025,SP,3514502,Duartina,12532
2022,SP,3514601,Dumont,9471
2023,SP,3514601,Dumont,9471
2024,SP,3514601,Dumont,9719
2025,SP,3514601,Dumont,9764
2022,SP,3514700,Echaporã,6205
2023,SP,3514700,Echaporã,6205
2024,SP,3514700,Echaporã,6295
2025,SP,3514700,Echaporã,6291
2022,SP,3514809,Eldorado,13069
2023,SP,3514809,Eldorado,13069
2024,SP,3514809,Eldorado,13162
2025,SP,3514809,Eldorado,13109
2022,SP,3514908,Elias Fausto,17699
2023,SP,3514908,Elias Fausto,17699
2024,SP,3514908,Elias Fausto,18103
2025,SP,3514908,Elias Fausto,18168
2022,SP,3514924,Elisiário,3138
2023,SP,3514924,Elisiário,3138
2024,SP,3514924,Elisiário,3189
2025,SP,3514924,Elisiário,3190
2022,SP,3514957,Embaúba,2323
2023,SP,3514957,Embaúba,2323
2024,SP,3514957,Embaúba,2353
2025,SP,3514957,Embaúba,2349
2022,SP,3515004,Embu das Artes,250691
2023,SP,3515004,Embu das Artes,250691
2024,SP,3515004,Embu das Artes,259323
2025,SP,3515004,Embu das Artes,259788
2022,SP,3515103,Embu-Guaçu,66970
2023,SP,3515103,Embu-Guaçu,66970
2024,SP,3515103,Embu-Guaçu,68805
2025,SP,3515103,Embu-Guaçu,68913
2022,SP,3515129,Emilianópolis,3014
2023,SP,3515129,Emilianópolis,3014
2024,SP,3515129,Emilianópolis,3062
2025,SP,3515129,Emilianópolis,3061
2022,SP,3515152,Engenheiro Coelho,19566
2023,SP,3515152,Engenheiro Coelho,19566
2024,SP,3515152,Engenheiro Coelho,20139
2025,SP,3515152,Engenheiro Coelho,20261
2022,SP,3515186,Espírito Santo do Pinhal,39816
2023,SP,3515186,Espírito Santo do Pinhal,39816
2024,SP,3515186,Espírito Santo do Pinhal,40681
2025,SP,3515186,Espírito Santo do Pinhal,40610
2022,SP,3515194,Espírito Santo do Turvo,4157
2023,SP,3515194,Espírito Santo do Turvo,4157
2024,SP,3515194,Espírito Santo do Turvo,4217
2025,SP,3515194,Espírito Santo do Turvo,4214
2022,SP,3557303,Estiva Gerbi,11295
2023,SP,3557303,Estiva Gerbi,11295
2024,SP,3557303,Estiva Gerbi,11566
2025,SP,3557303,Estiva Gerbi,11609
2022,SP,3515202,Estrela d'Oeste,9417
2023,SP,3515202,Estrela d'Oeste,9417
2024,SP,3515202,Estrela d'Oeste,9655
2025,SP,3515202,Estrela d'Oeste,9696
2022,SP,3515301,Estrela do Norte,2703
2023,SP,3515301,Estrela do Norte,2703
2024,SP,3515301,Estrela do Norte,2749
2025,SP,3515301,Estrela do Norte,2751
2022,SP,3515350,Euclides da Cunha Paulista,7924
2023,SP,3515350,Euclides da Cunha Paulista,7924
2024,SP,3515350,Euclides da Cunha Paulista,7928
2025,SP,3515350,Euclides da Cunha Paulista,7883
2022,SP,3515400,Fartura,16641
2023,SP,3515400,Fartura,16641
2024,SP,3515400,Fartura,16984
2025,SP,3515400,Fartura,17029
2022,SP,3515608,Fernando Prestes,5942
2023,SP,3515608,Fernando Prestes,5942
2024,SP,3515608,Fernando Prestes,6066
2025,SP,3515608,Fernando Prestes,6080
2022,SP,3515509,Fernandópolis,71186
2023,SP,3515509,Fernandópolis,71186
2024,SP,3515509,Fernandópolis,73286
2025,SP,3515509,Fernandópolis,73508
2022,SP,3515657,Fernão,1656
2023,SP,3515657,Fernão,1656
